CustomerID,Annual Income (k$),Spending Score (1-100)
1,21,16
2,34,21
3,29,17
4,25,24
5,22,12
6,21,23
7,33,26
8,25,13
9,25,27
10,18,17
11,22,13
12,17,11
13,16,15
14,26,31
15,20,19
16,16,13
17,15,31
18,26,27
19,26,21
20,31,11
21,24,19
22,30,13
23,29,23
24,29,25
25,33,24
26,26,17
27,34,23
28,17,32
29,19,34
30,33,17
31,21,30
32,23,25
33,21,22
34,32,27
35,18,24
36,28,30
37,32,33
38,23,34
39,16,22
40,34,18
41,29,24
42,27,74
43,15,74
44,21,85
45,23,72
46,15,91
47,26,91
48,22,63
49,25,89
50,33,82
51,31,74
52,22,88
53,17,72
54,17,91
55,15,66
56,19,81
57,24,87
58,21,61
59,23,65
60,21,87
61,23,87
62,22,79
63,26,89
64,16,70
65,15,87
66,30,84
67,19,92
68,17,60
69,26,86
70,22,72
71,17,62
72,15,65
73,17,67
74,19,86
75,29,68
76,28,92
77,17,83
78,15,74
79,19,91
80,28,91
81,21,83
82,23,71
83,69,75
84,46,92
85,41,68
86,42,65
87,56,75
88,44,88
89,56,62
90,63,79
91,56,78
92,66,85
93,56,62
94,41,78
95,41,79
96,67,91
97,61,66
98,62,92
99,44,77
100,40,60
101,40,70
102,58,87
103,69,84
104,41,82
105,60,90
106,51,89
107,65,94
108,45,66
109,62,75
110,43,85
111,62,61
112,50,60
113,63,71
114,66,64
115,56,91
116,45,68
117,63,94
118,44,78
119,59,75
120,41,62
121,45,79
122,61,83
123,50,92
124,103,26
125,131,27
126,90,26
127,128,18
128,87,34
129,115,10
130,117,10
131,119,17
132,99,23
133,114,26
134,127,12
135,104,31
136,114,31
137,104,6
138,108,25
139,97,34
140,125,5
141,97,32
142,81,19
143,133,5
144,114,9
145,95,32
146,120,33
147,115,20
148,112,23
149,83,8
150,112,7
151,93,21
152,100,21
153,127,16
154,99,32
155,135,34
156,87,33
157,86,18
158,82,25
159,96,10
160,112,7
161,127,32
162,91,13
163,138,9
164,130,28
165,108,88
166,128,85
167,125,94
168,132,84
169,110,83
170,114,72
171,139,66
172,112,79
173,131,60
174,100,67
175,111,75
176,102,73
177,112,71
178,82,82
179,97,74
180,104,87
181,121,93
182,110,61
183,133,91
184,137,82
185,82,81
186,119,84
187,125,81
188,103,81
189,129,65
190,111,74
191,126,92
192,101,67
193,102,64
194,81,63
195,106,65
196,121,91
197,81,89
198,105,94
199,96,75
200,119,72
201,112,89
202,88,78
203,122,76
204,133,78
205,127,87
206,65,55
207,76,41
208,65,38
209,62,35
210,48,64
211,51,64
212,40,39
213,40,57
214,86,60
215,73,44
216,71,56
217,87,39
218,64,38
219,79,36
220,84,54
221,40,44
222,55,60
223,78,53
224,44,60
225,61,35
226,68,58
227,42,39
228,51,47
229,65,38
230,55,50
231,76,58
232,61,50
233,68,57
234,53,36
235,67,51
236,44,62
237,86,61
238,88,54
239,69,58
240,85,46
241,44,52
242,51,37
243,55,62
244,65,35
245,65,35
246,87,63
